(i(yvlg1.p)) (REAL.A)      (v(p)) (REAL.V)
            5.26204u              2.94439
            5.20073u              2.91013
            5.16976u              2.89283
            5.10723u              2.85789
            5.07567u              2.84025
            5.01194u              2.80463
            4.97977u              2.78666
            4.91487u              2.75038
            4.88212u              2.73208
            4.81606u              2.69515
            4.78274u              2.67652
            4.71555u              2.63896
            4.68168u              2.62002
            4.61338u              2.58183
            4.57895u              2.56258
            4.50957u              2.52379
            4.47461u              2.50424
            4.40417u              2.46485
            4.36869u              2.44500
            4.29721u              2.40503
            4.26122u              2.38490
            4.18874u              2.34436
            4.15225u              2.32395
            4.07878u              2.28285
            4.04181u              2.26217
            3.96738u              2.22054
            3.92993u              2.19959
            3.85458u              2.15744
            3.81667u              2.13623
            3.74041u              2.09356
            3.70206u              2.07211
            3.66356u              2.05057
            3.62492u              2.02895
            3.58614u              2.00725
            3.54722u              1.98547
            3.50815u              1.96362
            3.46895u              1.94168
            3.42961u              1.91967
            3.39014u              1.89758
            3.35053u              1.87542
            3.31080u              1.85318
            3.27093u              1.83087
            3.23093u              1.80849
            3.19081u              1.78604
            3.15056u              1.76352
            3.11019u              1.74092
            3.06969u              1.71826
            3.02907u              1.69553
            2.98834u              1.67274
            2.94749u              1.64987
            2.90652u              1.62695
            2.86543u              1.60395
            2.82424u              1.58090
            2.78293u              1.55778
            2.74152u              1.53460
            2.69999u              1.51136
            2.65836u              1.48806
            2.61663u              1.46471
            2.57479u              1.44129
            2.53285u              1.41782
            2.49081u              1.39429
            2.44867u              1.37070
            2.40644u              1.34707
            2.36411u              1.32338
            2.32169u              1.29963
            2.27918u              1.27584
            2.23658u              1.25199
            2.19389u              1.22810
            2.15111u              1.20415
            2.10825u              1.18016
            2.06531u              1.15613
            2.02228u              1.13204
            1.97918u              1.10792
            1.93599u              1.08375
            1.89273u              1.05953
            1.84940u              1.03528
            1.80599u              1.01098
            1.76252u           986.64299m
            1.71897u           962.26749m
            1.67536u           937.85400m
            1.63168u           913.40348m
            1.58793u           888.91691m
            1.54412u           864.39524m
            1.50026u           839.83944m
            1.45633u           815.25049m
            1.41235u           790.62936m
            1.36831u           765.97702m
            1.32421u           741.29443m
            1.28007u           716.58258m
            1.23587u           691.84244m
            1.19163u           667.07499m
            1.14733u           642.28120m
            1.10300u           617.46206m
            1.05862u           592.61854m
            1.01419u           567.75162m
          969.73299n           542.86229m
          925.23305n           517.95153m
          880.69670n           493.02032m
          836.12570n           468.06965m
          791.52181n           443.10050m
          746.88677n           418.11385m
          702.22236n           393.11070m
          657.53032n           368.09203m
          612.81243n           343.05883m
          568.07044n           318.01209m
          523.30611n           292.95279m
          478.52122n           267.88192m
          433.71752n           242.80048m
          388.89678n           217.70946m
          344.06077n           192.60984m
          299.21126n           167.50261m
          254.35001n           142.38878m
          209.47880n           117.26932m
          164.59939n            92.14523m
          119.71355n            67.01751m
           74.82305n            41.88714m
           29.92966n            16.75511m
           29.43297z             0.00000f
          -44.89506n           -25.13258m
          -89.78848n           -50.26416m
         -134.67847n           -75.39376m
         -179.56329n          -100.52038m
         -224.44115n          -125.64304m
         -269.31031n          -150.76073m
         -314.16898n          -175.87247m
         -359.01542n          -200.97727m
         -403.84785n          -226.07414m
         -448.66451n          -251.16208m
         -493.46365n          -276.24010m
         -538.24350n          -301.30722m
         -583.00230n          -326.36245m
         -627.73829n          -351.40479m
         -672.44973n          -376.43325m
         -717.13485n          -401.44686m
